NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Binford,Griggs,464,1522
Calva,Graham,780,2559
Cooperstown,Griggs,437,1434
Glenbar,Graham,854,2802
Clifford,Traill,322,1056
Chicot,Chicot,38,125
Beulah,Mercer,544,1785
Dome,Yuma,59,194
Zap,Mercer,563,1847
Hyder,Yuma,164,538
Stanton,Mercer,519,1703
La Palma,Pinal,448,1470
Fort Fairfield,Aroostook,116,381
Lawson,Union,63,207
Fort Kent,Aroostook,171,561
Mount Holly,Union,80,262
Houlton,Aroostook,110,361
Childs,Pima,436,1430
Limestone,Aroostook,181,594
Cochise,Cochise,1287,4222
Madawaska,Aroostook,129,423
Dos Cabezas,Cochise,1549,5082
Van Buren,Aroostook,147,482
Fairbank,Cochise,1176,3858
Beach,Golden Valley,845,2772
Gleeson,Cochise,1501,4924
Sentinel Butte,Golden Valley,829,2720
Steele,Kidder,567,1860
Hereford,Cochise,1278,4193
Tappen,Kidder,539,1768
Circle D-KC Estates,Bastrop,153,502
Tuttle,Kidder,567,1860
New Orleans,Orleans,0,0
Woodworth,Stutsman,618,2028
Taft Southwest,San Patricio,16,52
Cleveland,Stutsman,569,1867
Sun City Center,Hillsborough,16,52
Courtenay,Stutsman,466,1529
La Feria North,Cameron,18,59
Spiritwood Lake,Stutsman,441,1447
Davis Dam,Mohave,162,531
Streeter,Stutsman,589,1932
Ephraim,Door,201,659
Yale,Saint Clair,242,794
Bismarck,Burleigh,517,1696
Wayne,Wayne,200,656
Wing,Burleigh,580,1903
Center,Oliver,602,1975
Westland,Wayne,203,666
Wimbledon,Barnes,454,1489
Woodhaven,Wayne,184,604
Wyandotte,Wayne,177,581
Rogers,Barnes,435,1427
Rolette,Rolette,496,1627
Sanborn,Barnes,442,1450
Rolla,Rolette,553,1814
Sibley,Barnes,389,1276
Saint John,Rolette,593,1946
Oxbow,Cass,280,919
Westhope,Bottineau,458,1503
Ayr,Cass,366,1201
Willow City,Bottineau,448,1470
West Fargo,Cass,274,899
Souris,Bottineau,461,1512
Tower City,Cass,356,1168
Bathgate,Pembina,250,820
Belfield,Stark,788,2585
